horizon,channel_set,model,n_features,n_params,train_seconds,epochs_run,val_threshold,val_n,val_n_positive,val_n_negative,val_auroc,val_auprc,val_brier,val_accuracy,val_balanced_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_f1,val_tp,val_tn,val_fp,val_fn,test_n,test_n_positive,test_n_negative,test_threshold,test_auroc,test_auprc,test_brier,test_accuracy,test_balanced_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_tp,test_tn,test_fp,test_fn
6,full,CNN-Attn-BiLSTM,18,517570,4.412,19,0.18954679369926453,276,170,106,0.7503329633740289,0.8502065142952846,0.20400737463432328,0.6702898550724637,0.5814095449500555,0.6586345381526104,0.9647058823529412,0.19811320754716982,0.7828162291169452,164,21,85,6,276,170,106,0.18954679369926453,0.759322974472808,0.8406587192061217,0.200451834377455,0.6521739130434783,0.5702552719200888,0.6541666666666667,0.9235294117647059,0.2169811320754717,0.7658536585365854,157,23,83,13
6,values,CNN-Attn-BiLSTM,5,514242,9.625,33,0.01041522715240717,276,170,106,0.6915649278579357,0.7985402111142116,0.2374839733113783,0.6159420289855072,0.5,0.6159420289855072,1.0,0.0,0.7623318385650224,170,0,106,0,276,170,106,0.01041522715240717,0.6518867924528302,0.7643069162117678,0.2551074364776419,0.6159420289855072,0.5,0.6159420289855072,1.0,0.0,0.7623318385650224,170,0,106,0
6,values_masks,CNN-Attn-BiLSTM,10,515522,4.658,20,0.34685420989990234,276,170,106,0.6804661487236403,0.7979750914906794,0.21512178926869488,0.6485507246376812,0.55488346281909,0.6442687747035574,0.9588235294117647,0.1509433962264151,0.7706855791962175,163,16,90,7,276,170,106,0.34685420989990234,0.6951720310765815,0.8006911930737896,0.2150228405959546,0.6485507246376812,0.5602108768035516,0.6477732793522267,0.9411764705882353,0.1792452830188679,0.7673860911270983,160,19,87,10
12,full,CNN-Attn-BiLSTM,18,517570,4.924,21,0.3934839963912964,276,170,106,0.7624861265260822,0.8431657651990787,0.18766048668855717,0.7028985507246377,0.6327413984461709,0.691304347826087,0.9352941176470588,0.330188679245283,0.795,159,35,71,11,276,170,106,0.3934839963912964,0.7412874583795783,0.8319698236869247,0.19837080806661864,0.6594202898550725,0.6027746947835738,0.6792452830188679,0.8470588235294118,0.3584905660377358,0.7539267015706806,144,38,68,26
12,values,CNN-Attn-BiLSTM,5,514242,5.65,24,0.2956656813621521,276,170,106,0.7408990011098778,0.8351855741664634,0.20030922111434993,0.6847826086956522,0.6038290788013319,0.6721991701244814,0.9529411764705882,0.25471698113207547,0.7883211678832117,162,27,79,8,276,170,106,0.2956656813621521,0.6968368479467257,0.7897286750529152,0.22090383714622117,0.644927536231884,0.5661487236403996,0.652542372881356,0.9058823529411765,0.22641509433962265,0.7586206896551724,154,24,82,16
12,values_masks,CNN-Attn-BiLSTM,10,515522,4.93,21,0.33645257353782654,276,170,106,0.7603218645948945,0.8421339143817679,0.1990410768194437,0.6920289855072463,0.6239178690344062,0.6872246696035242,0.9176470588235294,0.330188679245283,0.7858942065491183,156,35,71,14,276,170,106,0.33645257353782654,0.7086015538290787,0.797961965159232,0.2161911865568784,0.6702898550724637,0.6062708102108768,0.6787330316742082,0.8823529411764706,0.330188679245283,0.7672634271099744,150,35,71,20
18,full,CNN-Attn-BiLSTM,18,517570,6.695,28,0.15787100791931152,276,170,106,0.7874028856825749,0.8612467768381834,0.18613274660574783,0.7065217391304348,0.6214761376248613,0.680161943319838,0.9882352941176471,0.25471698113207547,0.8057553956834532,168,27,79,2,276,170,106,0.15787100791931152,0.7690344062153163,0.8535504936116618,0.19871513876418787,0.6992753623188406,0.617369589345172,0.6790123456790124,0.9705882352941176,0.2641509433962264,0.7990314769975787,165,28,78,5
18,values,CNN-Attn-BiLSTM,5,514242,6.9,29,0.2631457448005676,276,170,106,0.7903440621531632,0.8595478636751216,0.17753127767175075,0.7210144927536232,0.6421198668146504,0.6929460580912863,0.9823529411764705,0.3018867924528302,0.8126520681265207,167,32,74,3,276,170,106,0.2631457448005676,0.7092674805771365,0.8128611738517267,0.21923828715819116,0.6521739130434783,0.5702552719200888,0.6541666666666667,0.9235294117647059,0.2169811320754717,0.7658536585365854,157,23,83,13
18,values_masks,CNN-Attn-BiLSTM,10,515522,4.979,21,0.3215075135231018,276,170,106,0.7799112097669256,0.8530529506400091,0.18840616643709585,0.7282608695652174,0.6622086570477248,0.7092511013215859,0.9470588235294117,0.37735849056603776,0.8110831234256927,161,40,66,9,276,170,106,0.3215075135231018,0.6953940066592675,0.8084703891666777,0.21928205566019887,0.6557971014492754,0.5891786903440621,0.6681614349775785,0.8764705882352941,0.3018867924528302,0.7582697201017812,149,32,74,21
24,full,CNN-Attn-BiLSTM,18,517570,5.985,25,0.22373324632644653,276,170,106,0.8000554938956714,0.8749299729190029,0.17580083121486828,0.7137681159420289,0.6309100998890123,0.6857142857142857,0.9882352941176471,0.27358490566037735,0.8096385542168675,168,29,77,2,276,170,106,0.22373324632644653,0.783795782463929,0.867115812712723,0.18567728918560877,0.6920289855072463,0.61503884572697,0.679324894514768,0.9470588235294117,0.2830188679245283,0.7911547911547911,161,30,76,9
