channel_set,family,horizon,model,model_display,n_features,test_accuracy,test_auprc,test_auroc,test_balanced_accuracy,test_brier,test_f1,test_fn,test_fp,test_n,test_n_negative,test_n_positive,test_precision,test_recall_sensitivity,test_specificity,test_threshold,test_tn,test_tp,train_seconds,val_accuracy,val_auprc,val_auroc,val_balanced_accuracy,val_brier,val_f1,val_fn,val_fp,val_n,val_n_negative,val_n_positive,val_precision,val_recall_sensitivity,val_specificity,val_threshold,val_tn,val_tp
full,baseline,6,MLP_tabular,MLP_tabular,252,0.6666666666666666,0.8244439190095184,0.7223640399556049,0.5980022197558269,0.2077527416415212,0.7676767676767676,18,74,276,106,170,0.672566371681416,0.8941176470588236,0.3018867924528302,0.393580675125122,32,152,0.362,0.6956521739130435,0.7629608319786017,0.7069922308546059,0.6268590455049945,0.2074264457342954,0.7889447236180904,13,71,276,106,170,0.6885964912280702,0.923529411764706,0.330188679245283,0.393580675125122,35,157
full,baseline,6,RandomForest_balanced,RandomForest_balanced,252,0.6739130434782609,0.8244081473937002,0.7416481687014428,0.6127635960044395,0.1984918251811594,0.7680412371134021,21,69,276,106,170,0.6834862385321101,0.8764705882352941,0.3490566037735849,0.3975,37,149,1.115,0.6847826086956522,0.8329176753583518,0.7460321864594893,0.612708102108768,0.197892821557971,0.7830423940149626,13,74,276,106,170,0.6796536796536796,0.923529411764706,0.3018867924528302,0.3975,32,157
full,baseline,6,HistGradBoost,HistGradBoost,252,0.6702898550724637,0.8207606963542002,0.7307991120976693,0.6062708102108768,0.2093208947908693,0.7672634271099744,20,71,276,106,170,0.6787330316742082,0.8823529411764706,0.330188679245283,0.2965997259886924,35,150,0.281,0.677536231884058,0.8050936564778843,0.725527192008879,0.6014983351831299,0.2054865564115116,0.7802469135802469,12,77,276,106,170,0.6723404255319149,0.9294117647058824,0.2735849056603773,0.2965997259886924,29,158
full,baseline,6,LogReg_L2_balanced,LogReg_L2_balanced,252,0.6884057971014492,0.8159981166360317,0.7378468368479468,0.6156492785793563,0.2112990479770685,0.7860696517412935,12,74,276,106,170,0.6810344827586207,0.9294117647058824,0.3018867924528302,0.2420758195688274,32,158,0.066,0.6847826086956522,0.7618907139088336,0.696725860155383,0.6109322974472808,0.224505784583801,0.7841191066997518,12,75,276,106,170,0.6781115879828327,0.9294117647058824,0.2924528301886792,0.2420758195688274,31,158
full,baseline,6,ExtraTrees_balanced,ExtraTrees_balanced,252,0.644927536231884,0.8135627954945287,0.72161487236404,0.5519422863485016,0.2056840579710145,0.7677725118483413,8,90,276,106,170,0.6428571428571429,0.9529411764705882,0.1509433962264151,0.3,16,162,0.799,0.6666666666666666,0.8037471785890653,0.7258601553829078,0.5695893451720311,0.2034279891304347,0.7850467289719626,2,90,276,106,170,0.6511627906976745,0.9882352941176472,0.1509433962264151,0.3,16,168
full,baseline,6,Dummy_StratifiedFloor,Dummy_StratifiedFloor,252,0.6159420289855072,0.6058598914702564,0.478079911209767,0.5,0.4963768115942029,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170,0.0,0.6159420289855072,0.6024735694850708,0.4704217536071033,0.5,0.5036231884057971,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170
values,baseline,6,RandomForest_balanced,RandomForest_balanced,70,0.6123188405797102,0.8029105365940822,0.6967536071032185,0.5183684794672586,0.2112620018115942,0.7458432304038005,13,94,276,106,170,0.6254980079681275,0.923529411764706,0.1132075471698113,0.375,12,157,1.359,0.6485507246376812,0.8219848427518768,0.7229189789123196,0.5566592674805771,0.2038508378623188,0.7695961995249406,8,89,276,106,170,0.6454183266932271,0.9529411764705882,0.160377358490566,0.375,17,162
values,baseline,6,ExtraTrees_balanced,ExtraTrees_balanced,70,0.6086956521739131,0.7997382507083624,0.7160654827968922,0.497669256381798,0.2070474411231884,0.7545454545454545,4,104,276,106,170,0.6148148148148148,0.976470588235294,0.0188679245283018,0.2975,2,166,0.698,0.6268115942028986,0.8205529544782,0.717896781354051,0.5141509433962265,0.2061194972826087,0.7674943566591422,0,103,276,106,170,0.6227106227106227,1.0,0.0283018867924528,0.2975,3,170
values,baseline,6,MLP_tabular,MLP_tabular,70,0.6159420289855072,0.7926910097193769,0.6930632630410654,0.5124306326304107,0.2115684408930624,0.7546296296296297,7,99,276,106,170,0.6221374045801527,0.9588235294117649,0.0660377358490566,0.3756634294986725,7,163,0.276,0.6413043478260869,0.7322800144512231,0.6475027746947837,0.5490011098779134,0.2250363245483689,0.7648456057007126,9,90,276,106,170,0.6414342629482072,0.9470588235294116,0.1509433962264151,0.3756634294986725,16,161
values,baseline,6,HistGradBoost,HistGradBoost,70,0.6340579710144928,0.790055086321607,0.7018867924528301,0.5484461709211986,0.2163421496166546,0.7554479418886199,14,87,276,106,170,0.6419753086419753,0.9176470588235294,0.1792452830188679,0.3101838280276904,19,156,0.182,0.6594202898550725,0.8036791289291155,0.704661487236404,0.581465038845727,0.2142124652230605,0.7684729064039408,14,80,276,106,170,0.6610169491525424,0.9176470588235294,0.2452830188679245,0.3101838280276904,26,156
values,baseline,6,LogReg_L2_balanced,LogReg_L2_balanced,70,0.6195652173913043,0.7773352335131251,0.6670921198668147,0.5331298557158712,0.2290681965515501,0.7457627118644068,16,89,276,106,170,0.6337448559670782,0.9058823529411764,0.160377358490566,0.2973917793831392,17,154,0.059,0.6485507246376812,0.7105577474894806,0.6317425083240843,0.5637624861265261,0.2432273434701418,0.7651331719128329,12,85,276,106,170,0.6502057613168725,0.9294117647058824,0.1981132075471698,0.2973917793831392,21,158
values,baseline,6,Dummy_StratifiedFloor,Dummy_StratifiedFloor,70,0.6159420289855072,0.6058598914702564,0.478079911209767,0.5,0.4963768115942029,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170,0.006,0.6159420289855072,0.6024735694850708,0.4704217536071033,0.5,0.5036231884057971,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170
values_masks,baseline,6,ExtraTrees_balanced,ExtraTrees_balanced,140,0.6594202898550725,0.8139184682362399,0.725416204217536,0.5654827968923418,0.2042980298913043,0.7783018867924528,5,89,276,106,170,0.6496062992125984,0.9705882352941176,0.160377358490566,0.3375,17,165,0.692,0.644927536231884,0.7847653733336257,0.67838512763596,0.5430632630410654,0.2147605525362318,0.7731481481481481,3,95,276,106,170,0.6374045801526718,0.9823529411764704,0.1037735849056603,0.3375,11,167
values_masks,baseline,6,RandomForest_balanced,RandomForest_balanced,140,0.6123188405797102,0.8097099097945095,0.712708102108768,0.5112652608213096,0.2079700860507246,0.7505827505827506,9,98,276,106,170,0.6216216216216216,0.9470588235294116,0.0754716981132075,0.3275,8,161,1.182,0.6376811594202898,0.8192892372376477,0.7220865704772476,0.5318534961154273,0.2045346693840579,0.7706422018348624,2,98,276,106,170,0.631578947368421,0.9882352941176472,0.0754716981132075,0.3275,8,168
values_masks,baseline,6,HistGradBoost,HistGradBoost,140,0.6666666666666666,0.8017428195234549,0.7165926748057714,0.5891231964483907,0.2130552066895068,0.7733990147783252,13,79,276,106,170,0.6652542372881356,0.923529411764706,0.2547169811320754,0.2997793870351729,27,157,0.248,0.6702898550724637,0.7979790340308108,0.7169811320754718,0.5885127635960045,0.2113531592777466,0.7785888077858881,10,81,276,106,170,0.6639004149377593,0.9411764705882352,0.2358490566037736,0.2997793870351729,25,160
values_masks,baseline,6,MLP_tabular,MLP_tabular,140,0.6340579710144928,0.7980908665352604,0.7155937846836847,0.5342397336293008,0.2084265379077429,0.7645687645687645,6,95,276,106,170,0.6332046332046332,0.9647058823529412,0.1037735849056603,0.2803224325180053,11,164,0.434,0.6413043478260869,0.7385305800768569,0.6516093229744729,0.5401220865704772,0.2259927548948902,0.7703016241299304,4,95,276,106,170,0.6360153256704981,0.976470588235294,0.1037735849056603,0.2803224325180053,11,166
values_masks,baseline,6,LogReg_L2_balanced,LogReg_L2_balanced,140,0.6340579710144928,0.7751618142642499,0.6789678135405106,0.5253607103218646,0.2269493901499771,0.7699316628701595,1,100,276,106,170,0.6282527881040892,0.9941176470588236,0.0566037735849056,0.1610302638544448,6,169,0.05,0.6268115942028986,0.7139020267647621,0.6384017758046613,0.5159267480577137,0.2417570292025404,0.7664399092970522,1,102,276,106,170,0.6236162361623616,0.9941176470588236,0.0377358490566037,0.1610302638544448,4,169
values_masks,baseline,6,Dummy_StratifiedFloor,Dummy_StratifiedFloor,140,0.6159420289855072,0.6058598914702564,0.478079911209767,0.5,0.4963768115942029,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170,0.0,0.6159420289855072,0.6024735694850708,0.4704217536071033,0.5,0.5036231884057971,0.7623318385650224,0,106,276,106,170,0.6159420289855072,1.0,0.0,0.0,0,170
full,baseline,12,HistGradBoost,HistGradBoost,360,0.6702898550724637,0.8537236236639281,0.7671476137624861,0.5831853496115428,0.1950484131577147,0.7817745803357314,7,84,276,106,170,0.659919028340081,0.9588235294117649,0.2075471698113207,0.2093189959884544,22,163,0.547,0.6739130434782609,0.8299098378329731,0.7652608213096559,0.5825749167591565,0.1912692232435698,0.7867298578199052,4,86,276,106,170,0.6587301587301587,0.976470588235294,0.1886792452830188,0.2093189959884544,20,166
full,baseline,12,MLP_tabular,MLP_tabular,360,0.7065217391304348,0.8466725670974242,0.7690344062153163,0.6410099889012209,0.1895226310973608,0.7949367088607595,13,68,276,106,170,0.6977777777777778,0.923529411764706,0.3584905660377358,0.3488909900188446,38,157,0.483,0.6992753623188406,0.7977605295183132,0.7211431742508324,0.6333518312985571,0.2082647611547939,0.789873417721519,14,69,276,106,170,0.6933333333333334,0.9176470588235294,0.3490566037735849,0.3488909900188446,37,156
full,baseline,12,RandomForest_balanced,RandomForest_balanced,360,0.6594202898550725,0.8355350500058814,0.7574639289678134,0.574361820199778,0.1928513360507246,0.7729468599033816,10,84,276,106,170,0.6557377049180327,0.9411764705882352,0.2075471698113207,0.3325,22,160,1.243,0.6811594202898551,0.830463990723965,0.7549944506104329,0.5902330743618202,0.1924907155797101,0.7914691943127962,3,85,276,106,170,0.6626984126984127,0.9823529411764704,0.1981132075471698,0.3325,21,167
full,baseline,12,ExtraTrees_balanced,ExtraTrees_balanced,360,0.6739130434782609,0.8284173669215005,0.7517480577136515,0.6145394006659267,0.1921787364130434,0.7668393782383419,22,68,276,106,170,0.6851851851851852,0.8705882352941177,0.3584905660377358,0.415,38,148,0.807,0.6956521739130435,0.8176306927661762,0.7447280799112097,0.6268590455049945,0.1976394701086956,0.7889447236180904,13,71,276,106,170,0.6885964912280702,0.923529411764706,0.330188679245283,0.415,35,157
full,baseline,12,LogReg_L2_balanced,LogReg_L2_balanced,360,0.677536231884058,0.8109168945173655,0.732408435072142,0.6086015538290788,0.2142911156947408,0.7758186397984886,16,73,276,106,170,0.6784140969162996,0.9058823529411764,0.3113207547169811,0.2082970299709783,33,154,0.091,0.6920289855072463,0.7769342626450779,0.7064372918978914,0.6168146503884573,0.2239571672253021,0.7901234567901234,10,75,276,106,170,0.6808510638297872,0.9411764705882352,0.2924528301886792,0.2082970299709783,31,160
